rep,party,district,oil_gas,pipelines,coal
"Mullin, Markwayne",R,OK-02,190850,36800,10000
"Lucas, Frank D.",R,OK-03,59550,6000,0
"Cole, Tom",R,OK-04,104400,13700,17200
"Russell, Steve",R,OK-05,0,0,0
"Bonamici, Suzanne",D,OR-01,8150,2750,0
"Walden, Greg P.",R,OR-02,0,0,0
"Blumenauer, Earl",D,OR-03,3500,3500,0
"DeFazio, Peter A.",D,OR-04,0,0,0
"Schrader, Kurt",D,OR-05,54500,15000,2000
"Brady, Robert A.",D,PA-01,24300,0,0
"Evans, Dwight",D,PA-02,0,0,0
"Kelly, Mike",R,PA-03,77412,22412,19500
"Perry, Scott",R,PA-04,36500,10500,0
"Thompson, Glenn W.",R,PA-05,0,0,0
"Costello, Ryan",R,PA-06,36250,12000,0
"Meehan, Patrick",R,PA-07,76450,32300,0
"Fitzpatrick, Michael",R,PA-08,0,0,0
"Shuster, Bill",R,PA-09,239412,62500,23300
"Marino, Tom",R,PA-10,22250,8750,0
"Barletta, Lou",R,PA-11,35300,9000,1500
"Rothfus, Keith J.",R,PA-12,42050,12050,35850
"Boyle, Brendan",D,PA-13,3500,3000,0
"Doyle, Mike",D,PA-14,34000,21000,0
"Dent, Charlie",R,PA-15,34400,5500,0
"Pitts, Joe",R,PA-16,16000,3500,0
"Cartwright, Matt A.",D,PA-17,0,0,0
"Murphy, Tim",R,PA-18,56750,21500,21700
"Cicilline, David",D,RI-01,0,0,0
"Langevin, Jim",D,RI-02,500,0,0
"Sanford, Mark",R,SC-01,6000,1000,0
"Wilson, Joe",R,SC-02,14000,0,0
"Duncan, Jeff",R,SC-03,43500,10500,0
"Gowdy, Trey",R,SC-04,26400,1000,0
"Mulvaney, Mick",R,SC-05,16000,0,0
"Clyburn, James E.",D,SC-06,15680,3000,0
"Rice, Tom",R,SC-07,15750,0,0
"Noem, Kristi",R,SD-AL,75650,0,250
"Roe, Phil",R,TN-01,4500,0,300
"Duncan, Jr., John J.",R,TN-02,0,0,0
"Fleischmann, Chuck",R,TN-03,17200,4500,3000
"DesJarlais, Scott",R,TN-04,0,0,0
"Cooper, Jim",D,TN-05,3500,1000,0
"Black, Diane",R,TN-06,40750,3000,0
"Blackburn, Marsha",R,TN-07,88400,13500,500
"Fincher, Stephen",R,TN-08,0,0,0
"Cohen, Steve",D,TN-09,0,0,0
"Gohmert, Louie",R,TX-01,0,0,0
"Poe, Ted",R,TX-02,67700,7300,0
"Johnson, Sam",R,TX-03,37350,5700,0
"Ratcliffe, John",R,TX-04,0,0,0
"Hensarling, Jeb",R,TX-05,63650,3500,0
"Barton, Joe",R,TX-06,213782,18450,4500
"Culberson, John A.",R,TX-07,0,0,0
"Brady, Kevin P.",R,TX-08,0,0,0
"Green, Al",D,TX-09,20100,100,0
"McCaul, Michael T.",R,TX-10,0,0,0
"Conaway, K. Michael",R,TX-11,0,0,0
"Granger, Kay",R,TX-12,75400,0,0
"Thornberry, Mac",R,TX-13,69150,0,0
"Weber, Randy K.",R,TX-14,0,0,0
"Hinojosa, Ruben",D,TX-15,2500,1000,0
"O'Rourke, Beto",D,TX-16,250,250,0
"Flores, Bill",R,TX-17,202500,17500,500
"Jackson Lee, Sheila",D,TX-18,15000,500,0
"Neugebauer, Randy",R,TX-19,1500,0,0
"Castro, Joaquin",D,TX-20,24250,2000,0
"Smith, Lamar S.",R,TX-21,0,0,0
"Olson, Pete",R,TX-22,212450,49800,1000
"Hurd, Will",R,TX-23,316574,20400,1000
"Marchant, Kenny E.",R,TX-24,0,0,0
"Williams, Roger",R,TX-25,133550,0,0
"Burgess, Michael C.",R,TX-26,0,0,0
"Farenthold, Blake",R,TX-27,70950,13500,0
"Cuellar, Henry",D,TX-28,153727,22500,1000
"Green, Gene",D,TX-29,106200,42500,0
"Johnson, Eddie Bernice",D,TX-30,4000,0,0
"Carter, John R.",R,TX-31,0,0,0
"Sessions, Pete",R,TX-32,127750,22200,0
"Veasey, Marc A.",D,TX-33,0,0,0
"Vela, Filemon",D,TX-34,35000,7000,0
"Doggett, Lloyd A.",D,TX-35,0,0,0
"Babin, Brian",R,TX-36,48950,7700,0
"Bishop, Rob",R,UT-01,150516,25750,8000
"Stewart, Chris",R,UT-02,92500,14400,5756
"Chaffetz, Jason",R,UT-03,51800,0,3000
"Love, Mia",R,UT-04,67336,3000,0
"Welch, Peter F.",D,VT-AL,0,0,0
"Wittman, Rob",R,VA-01,15950,0,0
"Rigell, Scott",R,VA-02,6700,1000,0
"Scott, Robert C.",D,VA-03,0,0,0
"Forbes, J. Randy",R,VA-04,0,0,0
"Hurt, Robert",R,VA-05,12500,4500,0
"Goodlatte, Bob",R,VA-06,40450,0,0
"Brat, David Alan",R,VA-07,0,0,0
"Beyer, Donald",D,VA-08,0,0,0
"Griffith, Morgan",R,VA-09,39318,4500,22100
"Comstock, Barbara",R,VA-10,74775,14000,4450
"Connolly, Gerald E.",D,VA-11,0,0,0
"DelBene, Suzan K.",D,WA-01,0,0,0
"Larsen, Rick",D,WA-02,35500,16000,0
"Herrera-Beutler, Jaime",R,WA-03,0,0,0
"Newhouse, Dan",R,WA-04,32150,5150,4000
"McMorris Rodgers, Cathy",R,WA-05,0,0,0
"Kilmer, Derek",D,WA-06,3950,0,0
"McDermott, Jim",D,WA-07,0,0,0
"Reichert, Dave",R,WA-08,10000,4750,0
"Smith, Adam",D,WA-09,0,0,0
"Heck, Denny",D,WA-10,0,0,0
"McKinley, David",R,WV-01,78500,17000,36700
"Mooney, Alex",R,WV-02,30700,8000,19126
"Jenkins, Evan",R,WV-03,42600,3000,27600
"Ryan, Paul",R,WI-01,685083,79375,56790
"Pocan, Mark",D,WI-02,4000,2000,0
"Kind, Ron",D,WI-03,7000,1000,0
"Moore, Gwen",D,WI-04,0,0,0
"Sensenbrenner, James F.",R,WI-05,0,0,0
"Grothman, Glenn",R,WI-06,0,0,0
"Duffy, Sean",R,WI-07,0,0,0
"Ribble, Reid",R,WI-08,18400,1000,0
"Lummis, Cynthia M.",R,WY-AL,0,0,0
