rep,party,district,score_2016,score_lifetime
"Ashford, Brad",D,NE-02,55%,44%
"Smith, Adrian M.",R,NE-03,0%,5%
"Titus, Dina",D,NV-01,95%,95%
"Amodei, Mark E.",R,NV-02,3%,3%
"Heck, Joe",R,NV-03,5%,8%
"Hardy, Cresent",R,NV-04,3%,1%
"Guinta, Frank",R,NH-01,13%,10%
"Kuster, Ann M.",D,NH-02,95%,95%
"Norcross, Donald W.",D,NJ-01,100%,95%
"LoBiondo, Frank A.",R,NJ-02,50%,57%
"MacArthur, Tom",R,NJ-03,13%,10%
"Smith, Christopher H.",R,NJ-04,45%,62%
"Garrett, E. Scott",R,NJ-05,3%,8%
"Pallone, Frank J.",D,NJ-06,100%,96%
"Lance, Leonard",R,NJ-07,13%,21%
"Sires, Albio",D,NJ-08,92%,90%
"Pascrell, Bill",D,NJ-09,97%,93%
"Payne, Donald M.",D,NJ-10,95%,90%
"Frelinghuysen, Rodney P.",R,NJ-11,8%,33%
"Watson Coleman, Bonnie",D,NJ-12,100%,100%
"Lujan Grisham, Michelle",D,NM-01,100%,89%
"Pearce, Steve",R,NM-02,0%,4%
"Lujan, Ben Ray",D,NM-03,100%,96%
"Zeldin, Lee",R,NY-01,8%,11%
"King, Peter T.",R,NY-02,13%,16%
"Israel, Steve J.",D,NY-03,100%,96%
"Rice, Kathleen",D,NY-04,89%,93%
"Meeks, Gregory W.",D,NY-05,92%,88%
"Meng, Grace",D,NY-06,100%,96%
"Velazquez, Nydia",D,NY-07,100%,93%
"Jeffries, Hakeem S.",D,NY-08,95%,96%
"Clarke, Yvette D.",D,NY-09,100%,94%
"Nadler, Jerrold L.",D,NY-10,95%,96%
"Donovan, Daniel M.",R,NY-11,21%,17%
"Maloney, Carolyn B.",D,NY-12,97%,95%
"Rangel, Charles",D,NY-13,100%,83%
"Crowley, Joseph",D,NY-14,95%,94%
"Serrano, Jose",D,NY-15,97%,92%
"Engel, Eliot L.",D,NY-16,97%,92%
"Lowey, Nita M.",D,NY-17,100%,94%
"Maloney, Sean Patrick",D,NY-18,97%,87%
"Gibson, Chris",R,NY-19,47%,41%
"Tonko, Paul D.",D,NY-20,97%,97%
"Stefanik, Elise",R,NY-21,29%,19%
"Hanna, Richard",R,NY-22,37%,22%
"Reed, Tom",R,NY-23,8%,6%
"Katko, John",R,NY-24,26%,21%
"Slaughter, Louise",D,NY-25,100%,91%
"Higgins, Brian M.",D,NY-26,100%,95%
"Collins, Chris",R,NY-27,0%,3%
"Butterfield, G.K.",D,NC-01,89%,89%
"Ellmers, Renee",R,NC-02,0%,4%
"Jones, Jr., Walter",R,NC-03,21%,22%
"Price, David",D,NC-04,100%,91%
